Symbol,Name
ARR,Aurora Investment Trust Plc
ARS,Asiamet Resources Limite
ART,Artisan [Uk] Plc
ARTL,Alpha Real Trust Limited
ARV,Archimedia Ventures Plc
ASAI,ASA International Group Plc
ASC,Asos Plc
ASCI,Aberdeen Smaller Companies Income Trust
ASCL,Ascential Plc
ASDV,SSGA SPDR ETFS Europe I
ASEAN40,FTSE Asean 40 Index
ASEAN40N,FTSE Asean 40
ASEAN4WN,Ftse/Asean 40 Wm Net Tax Index
ASEANAS,FTSE Asean All-Share Ind
ASEANEM,FTSE Asean All-Share Ex
ASEANSTR,FTSE Asean Stars Index
ASHM,Ashmore Group Plc
ASHR,DB X-Trackers
ASIL,Lyxor International Asse
ASIT,Aberforth Split Level Income Trust Plc
ASIU,Lyxor International Asse
ASIZ,Aberforth Split Level Income Trust Plc
ASL,Aberforth Smaller Companies Trust Plc
ASLI,Aberdeen Standard European Logistics Inc
AST,Ascent Resources Plc
ASTO,Assetco Plc
ASX,FTSE All-Share
ASXX,FTSE All-Share [Exit]
ASY,Andrews Sykes Group Plc
AT,
AT1,Invesco Markets II Plc
AT1D,Invesco Markets II Plc
AT1P,Invesco Markets II Plc
AT1S,Invesco Markets II Plc
ATAD,Oao Tatneft
ATG,Adventis Group Plc
ATM,Afritin Mining Limited
ATOM,
ATQT,Attraqt Group Plc
ATR,Asian Total Return Inves
ATS,Artemis Alpha Trust Plc
ATST,Alliance Trust Plc
ATT,Allianz Technology Trust
ATY,Athelney Trust Plc
ATYM,Atalaya Mining Plc
AUAD,UBS [Irl] ETF Plc
AUCO,Etfx Fund Company Plc
AUCP,Etfx Fund Company Plc
AUEG,Amundi ETF
AUEM,Amundi Investment Solutions
AUGA,UBS [Irl] ETF Plc
AUGM,Augmentum Fintech Plc
AUK,Aukett Fitzroy Robinson Group Plc
AURA,Aura Energy Limited
AURR,Aurora Russia Limited
AUSC,
AUTG,Autins Group Plc
AUTO,Auto Trader Group Plc
AUY,AuIron Energy
AV,Aviva
AV.A,Aviva Plc
AV.B,Aviva Plc
AVAP,Avation Plc
AVCT,Avacta Group Plc
AVG,Avingtrans Plc
AVO,Advanced Oncotherapy Plc
AVON,Avon Rubber Plc
AVST,Avast Plc
AVV,Aveva Group Plc
AW01,FTSE All World
AW02,FTSE All World Ex US
AW03,FTSE All World Ex UK
AW04,FTSE All World Ex Japan
AW05,FTSE All World Ex South
AW06,FTSE FTSE All World Asia
AW07,FTSE All World Asia Paci
AW08,FTSE All World Asia Pac
AW09,FTSE All World Asia Pac
AW10,FTSE All World Greater C
AW11,FTSE All World Europe
AW12,FTSE All World Europe Ex
AW13,FTSE All World Europe Ex
AW14,FTSE All World Eurobloc
AWALEMVN,FTSE Emerging Minimum VA
AWALLEN,FTSE Emerging Net of Tax
AWALLER,FTSE Emerging Net Tax [U
AWAMERS,FTSE Americas Index
AWDEUMVN,FTSE Developed Europe MI
AWDEURSC,FTSE Developed Europe IN
AWDEURSE,FTSE Developed Europe IN
AWDEURSG,FTSE Developed Europe IN
AWDEURU,FTSE Developed Europe Un
AWDPAC,FTSE Developed Asia Paci
AWDPACXJ,FTSE All-World Devlop Asia Pacific Exclu
AWDPCXJE,FTSE Developed Asia Paci
AWDPCXJG,FTSE Developed Asia Paci
AWDPXJC,FTSE Developed Asia Paci
AWDXNAR,FTSE Developed Ex North
AWDXNAU,FTSE Developed Ex North
AWE,
AWEBCMVN,FTSE Eurobloc Minimum VA
AWEBLOCE,FTSE Eurozone Index [Eur]
AWHDY01,FTSE All-World High Divi
AWHDY01C,FTSE All-World High Divi
AWHDY01E,FTSE All-World High Divi
AWHDY01G,FTSE All-World High Divi
AWLDMVN,FTSE All-World Minimum Variance Net Tax
AWNAMERS,FTSE All-World North America Index
AWNT01HK,FTSE Japan Net Tax Hkd I
AWNT01JA,FTSE Japan Index - Net Tax
AWNT04,FTSE Developed Net Tax I
AWNT04CH,FTSE Developed Net Tax C
AWNT04EU,FTSE Developed Net Tax E
AWNT04UK,FTSE Developed Net Tax G
AWNT05,FTSE Developed Europe Ex
AWNT05CH,FTSE Developed Europe Ex
AWNT05EU,FTSE Developed Europe Ex
AWNT05UK,FTSE Developed Europe Ex
AWNT06HK,FTSE Developed Europe NE
AWNT13,FTSE Developed Ex North
AWNT14,FTSE North America Net T
AWNT14CH,FTSE North America Net T
AWNT14EU,FTSE North America Net T
AWNT14UK,FTSE North America Net T
AWPXJANN,FTSE Asia Pacific Ex Jap
AWSG,UBS [Irl] ETF Plc
AWSR,UBS [Irl] ETF Plc
AXB,Axis Bank Limited
AXI,Axiom European Financial Debt Limited
AXL,
AXS,Accsys Technologies Plc
AXX,FTSE Aim All-Share Index
AYM,Anglesey Mining Plc
AZN,Astrazeneca Plc
BA,Bae Systems Plc
BA47,City of London Investmen
BAB,Babcock International Group Plc
BABS,Bluecrest Allblue Fund Limited
BAF,British & American Investment Trust Plc
BAG,Barr [A.G.] Plc
BAKK,Bakkavor Group Plc
BANK,
BAR,Brand Architekts Group Plc
BARC,Barclays Plc
BAS,Bea Systems Inc
BASC,
BATG,Go Ucits ETF Solutions Plc
BATS,British American Tobacco Plc
BATT,Go Ucits ETF Solutions Plc
BAY,British Airways
BBB,Bigblu Broadband Plc
BBCS,Bluecrest Bluetrend Limi
BBDD,Jpmorgan ETFS (Ireland) Icav
BBEG,Jpmorgan ETFS (Ireland) Icav
BBGE,Jpmorgan ETFS (Ireland) Icav
BBGI,Bilfinger Berger Global Infrastructure S
BBH,Bb Healthcare Trust Plc
BBIL,Jpmorgan ETFS (Ireland) Icav
BBLL,Jpmorgan ETFS (Ireland) Icav
BBOX,Tritax Big Box REIT Plc
BBRT,Jpmorgan ETFS (Ireland) Icav
BBSC,BFS ABSOLUTE RETURN TRUST CAPITAL 0.01P
BBSN,Brave Bison Group Plc
BBSU,Jpmorgan ETFS (Ireland) Icav
BBTP,Jpmorgan ETFS (Ireland) Icav
BBTR,Jpmorgan ETFS (Ireland) Icav
BBUD,Jpmorgan ETFS (Ireland) Icav
BBUS,Jpmorgan ETFS (Ireland) Icav
BBY,Balfour Beatty Plc
BC94,Samsung Electronics Co L
BCCU,UBS ETFS Plc
BCG,
BCHN,Invesco Markets II Plc
BCHS,Invesco Markets II Plc
BCOG,Go Ucits ETF Solutions Plc
BCOM,Go Ucits ETF Solutions Plc
BCPT,BMO Commercial Property Trust Ltd.
BD15,Tate & Lyle Plc
BDEV,Barratt Developments Plc
BEG,Begbies Traynor Group Plc
BEL1,Retail Charity Bonds Plc
BELL,
BEM,Beowulf Mining Plc
BEMO,
BEN,Biogen Inc
BENE,Boost Issuer Public Limited Company
BERI,Blackrock Energy and Resources Income TR
BEZ,Beazley Plc
BGCG,
BGEO,Bank of Georgia Holdings Plc
BGEU,Baillie Gifford European Growth Trust
BGFD,Baillie Gifford Japan Trust Plc
BGHL,Boussard & Gavaudan Holding Limited
BGLF,Blackstone / Gso Loan FI
BGLP,Blackstone / Gso Loan Financing Limited
BGO,Bango Plc
BGS,Baillie Gifford Shin Nippon Plc
BGUK,Baillie Gifford UK Growth Fund Plc
BHL,Baydonhill Plc
BHMG,Bh Macro Limited
BHMU,Bh Macro Limited
BHP,Bhp Group Plc
BIDS,Bidstack Group Plc
BIFF,Biffa Plc
BIG,
BIGT,Go Ucits ETF Solutions Plc
BIH,Boston International Holdings Plc
BILN,Billington Holdings Plc
BIOG,Biotech Growth Trust [The] Plc
BIOM,Biome Technologies Plc
BIOT,Go Ucits ETF Solutions Plc
BIPS,
BIRD,Blackbird Plc
BIRG,Bank of Ireland Group Plc
BISI,Bisichi Mining Plc
BKG,Berkeley Group Holdings [The] Plc
BKS,Beeks Financial Cloud Group Plc
BKY,Berkeley Resources Limited
BLND,British Land Company Plc
BLOE,Block Energy Plc
BLOK,First Trust Global Funds Public Limited
BLP,Blue Planet International Financials Inv
BLTG,Blancco Technology Group Plc
BLU,Blue Star Capital Plc
BLV,Belvoir Group Plc
BLVN,Bowleven Plc
BMD,Baronsmead Vct 3 Plc
BME,B&M European Value Retai
BMK,Benchmark Holdings Plc
BMN,Bushveld Minerals Limited
BMS,Braemar Shipping Services Plc
BMT,Braime [T.F. & J.H.] [Holdings] Plc
BMTO,Braime Group Plc
BMV,Bluebird Merchant Ventures Ltd
BMY,Bloomsbury Publishing Plc
BNC,Banco Santander S.A.
BNKE,Multi Units Luxembourg
BNKR,Bankers Investment Trust Plc
BNKS,Ishares V Public Limited Company
BNZL,Bunzl Plc
BOCH,Bank of Cyprus Holdings Public Limited C
BOD,Botswana Diamonds Plc
BOE,Boeing Co.
BOI,Bank of Ireland [Governor & Company of T
BOIL,Baron Oil Plc
BOKU,Boku Inc
BONH,Bonhill Group Plc
BOO,Boohoo.com Plc
BOOK,
