Symbol;Name;ListedDt;LastDt;Status
ACRE;Ares Commercial Real;2012-04-26T00:00:00;2022-09-09T00:00:00;Active
ACRS;Aclaris Therapeutics,;2015-10-07T00:00:00;2022-09-16T00:00:00;Active
ACRX;Acelrx Pharmaceuticals;2011-02-11T00:00:00;2022-09-16T00:00:00;Active
ACST;Acasti Pharma Class A;2013-01-07T00:00:00;2022-09-09T00:00:00;Active
ACTD;Arclight Clean Transition Ii Class A Ordinary Share;2021-05-24T00:00:00;2022-09-16T00:00:00;Active
ACTDU;Arclight Clean Transition Ii Unit;2021-03-23T00:00:00;2022-09-16T00:00:00;Active
ACTDW;Arclight Clean Transition Ii Warrant;2021-05-21T00:00:00;2022-09-16T00:00:00;Active
ACTG;Acacia Research;2007-05-03T00:00:00;2022-09-09T00:00:00;Active
ACU;Acme United Corporation.;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
ACV;Alberto-Culver Co.;2015-05-22T00:00:00;2022-09-16T00:00:00;Active
ACVA;Acv Auctions;2021-03-24T00:00:00;2022-09-16T00:00:00;Active
ACXP;Acurx Pharmaceuticals;2021-06-25T00:00:00;2022-09-16T00:00:00;Active
ADAG;Adagene;2021-02-09T00:00:00;2022-09-16T00:00:00;Active
ADAP;Adaptimmune Therapeutics Plc American Depositary Shares;2015-05-06T00:00:00;2022-09-16T00:00:00;Active
ADBE;Adobe Systems Inc;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
ADC;Agree Realty Corporation;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
ADES;Advanced Emissions Solutions;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
ADGI;Adagio Therapeutics;2021-08-06T00:00:00;2022-09-16T00:00:00;Active
ADI;Analog Devices;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
ADIL;Adial Pharmaceuticals Inc;2018-07-27T00:00:00;2022-09-16T00:00:00;Active
ADILW;Adial Pharmaceuticals Inc Warrant;2018-07-27T00:00:00;2022-09-16T00:00:00;Active
ADM;Archer-Daniels-Midland Co;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
ADMA;Adma Biologics Cmn;2013-10-17T00:00:00;2022-09-16T00:00:00;Active
ADMP;Adamis Pharmaceuticals;2010-04-07T00:00:00;2022-09-09T00:00:00;Active
ADN;Advent Technologies Holdings Class A;2018-11-16T00:00:00;2022-09-16T00:00:00;Active
ADNT;Adient;2016-10-17T00:00:00;2022-09-09T00:00:00;Active
ADNWW;Advent Technologies Holdings Warrant;2019-01-24T00:00:00;2022-09-16T00:00:00;Active
ADP;Automatic Data Processing;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
ADPT;Adaptive Biotechnologies Corporation;2019-06-27T00:00:00;2022-09-16T00:00:00;Active
ADRT;Ault Disruptive Technologies;2022-02-09T00:00:00;2022-09-16T00:00:00;Active
ADSE;ADS-Tec Energy Plc Ordinary Shares;2021-12-23T00:00:00;2022-09-16T00:00:00;Active
ADSEW;ADS-Tec Energy Plc Warrant;2021-12-23T00:00:00;2022-09-16T00:00:00;Active
ADSK;Autodesk;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
ADT;Adt;2018-01-19T00:00:00;2022-09-16T00:00:00;Active
ADTH;Adtheorent Holding Company;2021-12-23T00:00:00;2022-09-16T00:00:00;Active
ADTHW;Adtheorent Holding Company Warrants;2021-04-20T00:00:00;2022-09-16T00:00:00;Active
ADTN;Adtran;2007-04-30T00:00:00;2022-09-09T00:00:00;Active
ADTX;Aditx Therapeutics;2020-06-30T00:00:00;2022-09-16T00:00:00;Active
ADUS;Addus Homecare;2009-10-28T00:00:00;2022-09-16T00:00:00;Active
ADV;Advantage Solutions Class A;2019-09-09T00:00:00;2022-09-16T00:00:00;Active
ADVM;Adverum Biotechnologies;2014-07-31T00:00:00;2022-09-16T00:00:00;Active
ADVWW;Advantage Solutions Warrant;2016-09-15T00:00:00;2022-09-16T00:00:00;Active
ADX;Adams Diversified Equity Fund;2007-05-08T00:00:00;2022-09-09T00:00:00;Active
ADXN;Addex Therapeutics American Depositary Shares;2020-01-29T00:00:00;2022-09-16T00:00:00;Active
AE;Adams Resources;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AEE;Ameren Corp;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AEF;Aberdeen Emerging Markets Equity Income Fund;2007-10-02T00:00:00;2022-09-09T00:00:00;Active
AEG;Aegon N.V.;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AEHL;Antelope Enterprise Holdings;2010-01-25T00:00:00;2022-09-09T00:00:00;Active
AEHR;Aehr Test Systems;2007-05-16T00:00:00;2022-09-16T00:00:00;Active
AEI;Alset Ehome International;2020-11-24T00:00:00;2022-09-16T00:00:00;Active
AEIS;Advanced Energy Inds;2007-04-30T00:00:00;2022-09-09T00:00:00;Active
AEL;American Equity Investment Life Holding Company;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AEM;Agnico Eagle Mines Limited;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AEMD;Aethlon Medical;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AENZ;Aenza S.A.A. American Depositary Shares;2018-07-06T00:00:00;2022-09-16T00:00:00;Active
AEO;American Eagle Outfitters;2007-03-08T00:00:00;2022-09-09T00:00:00;Active
AEP;American Electric Power;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AEPPZ;American Electric Power Company Corporate Units;2020-10-01T00:00:00;2022-09-09T00:00:00;Active
AER;Aercap Holdings N.V.;2007-01-03T00:00:00;2022-09-16T00:00:00;Active
AERC;Aeroclean Technologies;2021-11-24T00:00:00;2022-09-16T00:00:00;Active
AERI;Aerie Pharmaceuticals Co;2013-10-25T00:00:00;2022-09-16T00:00:00;Active
AES;Aes Corp;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AESC;The Aes Corporate Units;2021-03-15T00:00:00;2022-09-09T00:00:00;Active
AESE;Allied Esports Entertainment;2017-10-25T00:00:00;2022-09-16T00:00:00;Active
AEVA;Aeva Technologies,;2020-02-27T00:00:00;2022-09-16T00:00:00;Active
AEY;Addvantage Technologies;2007-05-16T00:00:00;2022-09-16T00:00:00;Active
AEYE;Audioeye;2018-09-04T00:00:00;2022-09-16T00:00:00;Active
AEZS;Aeterna Zentaris;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AFB;Alliancebernstein National Municipal Income Fund Inc;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AFBI;Affinity Bancshares;2020-07-23T00:00:00;2022-09-16T00:00:00;Active
AFCG;Afc Gamma;2021-03-19T00:00:00;2022-09-09T00:00:00;Active
AFG;American Financial;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AFGE;American Financial 4.500% Subordinated Debentures Due 2060;2020-09-18T00:00:00;2022-09-09T00:00:00;Active
AFIB;Acutus Medical;2020-08-06T00:00:00;2022-09-16T00:00:00;Active
AFL;Aflac Inc;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AFMD;Affimed N.V.;2014-09-12T00:00:00;2022-09-16T00:00:00;Active
AFRI;Forafric Global Plc Ordinary Shares;2022-06-10T00:00:00;2022-09-16T00:00:00;Active
AFRIW;Forafric Global Plc Warrants;2022-06-10T00:00:00;2022-09-16T00:00:00;Active
AFRM;Affirm;2021-01-13T00:00:00;2022-09-16T00:00:00;Active
AFT;Apollo Senior Floating Rate Fund;2011-02-24T00:00:00;2022-09-09T00:00:00;Active
AFYA;Afya Limited;2019-07-19T00:00:00;2022-09-16T00:00:00;Active
AG;First Majestic Silver;2010-12-15T00:00:00;2022-09-09T00:00:00;Active
AGCB;Altimeter Growth 2;2021-01-07T00:00:00;2022-09-16T00:00:00;Active
AGCO;Agco Corporation;2009-05-04T00:00:00;2022-09-09T00:00:00;Active
AGD;Aberdeen Global Dynamic Dividend Fund;2007-05-02T00:00:00;2022-09-09T00:00:00;Active
AGE;Agex Therapeutics;2018-11-29T00:00:00;2022-09-16T00:00:00;Active
AGEN;Agenus;2007-05-09T00:00:00;2022-09-09T00:00:00;Active
AGFS;Agrofresh Solutions;2014-04-24T00:00:00;2022-09-16T00:00:00;Active
AGFY;Agrify;2021-01-28T00:00:00;2022-09-16T00:00:00;Active
AGGR;Agile Growth Class A Ordinary Share;2021-05-19T00:00:00;2022-09-16T00:00:00;Active
AGGRU;Agile Growth Units;2021-03-10T00:00:00;2022-09-16T00:00:00;Active
AGGRW;Agile Growth Warrant.;2021-05-05T00:00:00;2022-09-16T00:00:00;Active
AGI;Alamos Gold;2015-07-06T00:00:00;2022-09-16T00:00:00;Active
AGIL;Agilethought Class A;2020-01-14T00:00:00;2022-09-16T00:00:00;Active
