Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
RQO,RBC Target 2026 Corporate Bond Index ETF,,,ETF,,,,TOR,"RBC TARGET 2026 CORPORATE BOND ",RBC Target 2026 Corporate Bond Index ETF,ca_market,RBC Global Asset Management Inc.,,RQO.TO,TSX
RQP,RBC Target 2027 Corporate Bond Index ETF,,,ETF,,,,TOR,"RBC TARGET 2027 CORPORATE BOND ",RBC Target 2027 Corporate Bond Index ETF,ca_market,RBC Global Asset Management Inc.,,RQP.TO,TSX
RS,Real Estate and Ecommerce Split Corp,Financial Services,Asset Management,EQUITY,,https://www.middlefield.com/reecsc.htm,https://logo.clearbit.com/middlefield.com,TOR,REAL ESTATE SPLIT CORP,Real Estate Split Corp.,ca_market,,38055224,RS.TO,TSX
RS.PR.A,Real Estate & E-Commerce Split Corp,,,,,,,,,,,,,RS-PR-A.TO,TSX
RSI,Rogers Sugar Inc,Consumer Defensive,Confectioners,EQUITY,,https://www.lanticrogers.com,https://logo.clearbit.com/lanticrogers.com,TOR,ROGERS SUGAR INC,Rogers Sugar Inc.,ca_market,,622121984,RSI.TO,TSX
RSI.DB.E,Rogers Sugar Inc 5Pct Debs,,,,,,,,,,,,,RSI-DB-E.TO,TSX
RSI.DB.F,Rogers Sugar Inc 4.75 Pct Debs,,,,,,,,,,,,,RSI-DB-F.TO,TSX
RTG,Rtg Mining Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.rtgmining.com,https://logo.clearbit.com/rtgmining.com,TOR,RTG MINING INC,RTG Mining Inc.,ca_market,,33462200,RTG.TO,TSX
RUBH,RBC US Banks Yield CAD Hgd Index ETF,,,ETF,,,,TOR,RBC US BANKS YIELD CAD HGD INDE,RBC U.S. Banks Yield (CAD Hedged) Index ETF,ca_market,RBC Global Asset Management Inc.,,RUBH.TO,TSX
RUBY,RBC US Banks Yield Index ETF CAD,,,ETF,,,,TOR,RBC US BANKS YIELD INDEX ETF CA,RBC U.S. Banks Yield Index ETF,ca_market,RBC Global Asset Management Inc.,,RUBY.TO,TSX
RUD,RBC Quant US Div Leaders ETF,,,ETF,,,,TOR,RBC QUANT US DIV LEADERS ETF,RBC Quant U.S. Dividend Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RUD.TO,TSX
RUD.U,RBC Quant US Div Leaders USD ETF,,,ETF,,,,TOR,RBC QUANT US DIV LEADERS USD ET,RBC Quant U.S. Dividend Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RUD-U.TO,TSX
RUDH,RBC Quant US Div Leaders ETF,,,ETF,,,,TOR,RBC QUANT US DIV LEADERS ETF,RBC Quant U.S. Dividend Leaders (CAD Hedged) ETF,ca_market,RBC Global Asset Management Inc.,,RUDH.TO,TSX
RUE,RBC Quant US Equity Leaders ETF,,,ETF,,,,TOR,RBC QUANT US EQUITY LEADERS ETF,RBC Quant U.S. Equity Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RUE.TO,TSX
RUE.U,RBC Quant US Equity Leaders ETF USD,,,ETF,,,,TOR,RBC QUANT US EQUITY LEADERS ETF,RBC Quant U.S. Equity Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RUE-U.TO,TSX
RUEH,RBC Quant US Equity Leaders CAD Heg ETF,,,ETF,,,,TOR,RBC QUANT US EQUITY LEADERS CAD,RBC Quant U.S. Equity Leaders (CAD Hedged) ETF,ca_market,RBC Global Asset Management Inc.,,RUEH.TO,TSX
RUS,Russel Metals,Industrials,Industrial Distribution,EQUITY,,https://www.russelmetals.com,https://logo.clearbit.com/russelmetals.com,TOR,RUSSEL METALS,Russel Metals Inc.,ca_market,,1750066944,RUS.TO,TSX
RUSB,RBC Short Term US Corp Bond ETF,,,ETF,,,,TOR,RBC SHORT TERM US CORP BOND ETF,RBC Short Term U.S. Corporate Bond ETF,ca_market,RBC Global Asset Management Inc.,,RUSB.TO,TSX
RUSB.U,RBC Short Term US Corp Bond USD,,,ETF,,,,TOR,RBC SHORT TERM US CORP BOND USD,RBC Short Term U.S. Corporate Bond ETF,ca_market,RBC Global Asset Management Inc.,,RUSB-U.TO,TSX
RVX,Resverlogix Corp,Healthcare,Biotechnology,EQUITY,,https://www.resverlogix.com,https://logo.clearbit.com/resverlogix.com,TOR,RESVERLOGIX CORP.,Resverlogix Corp.,ca_market,,43671600,RVX.TO,TSX
RVX.WT.A,Resverlogix Corp WT,,,,,,,,,,,,,RVX-WT-A.TO,TSX
RWE,CI First Asset MSCI Europe Lr Wgtd ETF,,,ETF,,,,TOR,CI MSCI EUROPE LR WGTD ETF,CI MSCI Europe Low Risk Weighted ETF,ca_market,CI Investments Inc,,RWE.TO,TSX
RWE.B,CI First Asset MSCI Europe Lr Wgtd Unhg,,,ETF,,,,TOR,CI MSCI EUROPE LR WGTD UNHG ETF,CI MSCI Europe Low Risk Weighted ETF,ca_market,CI Investments Inc,,RWE-B.TO,TSX
RWW,CI First Asset MSCI World Low Risk Wtd,,,ETF,,,,TOR,CI MSCI WORLD LOW RISK WTD ETF,CI MSCI World Low Risk Weighted ETF,ca_market,CI Investments Inc,,RWW.TO,TSX
RWW.B,CI First Asset MSCI Wld Lr Wtd Uh ETF,,,ETF,,,,TOR,CI MSCI WLD LR WTD UH ETF,CI MSCI World Low Risk Weighted ETF,ca_market,CI Investments Inc,,RWW-B.TO,TSX
