Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
ADY,Adyton Resources Corp,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.adytonresources.com,https://logo.clearbit.com/adytonresources.com,VAN,ADYTON RESOURCES CORPORATION,Adyton Resources Corporation,ca_market,,1871385,ADY.V,TSXV
ADYA,Adya Inc,Communication Services,Telecom Services,EQUITY,,https://www.adya.ca,https://logo.clearbit.com/adya.ca,VAN,ADYA INC,Adya Inc.,ca_market,,3187822,ADYA.V,TSXV
ADZ,Adamera Minerals Corp,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.adamera.com,https://logo.clearbit.com/adamera.com,VAN,ADAMERA MINERALS CORP,Adamera Minerals Corp.,ca_market,,10190450,ADZ.V,TSXV
ADZN,Adventus Mining Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.adventusmining.com,https://logo.clearbit.com/adventusmining.com,VAN,ADVENTUS MINING CORPORATION,Adventus Mining Corporation,ca_market,,49177876,ADZN.V,TSXV
AE,American Eagle Gold Corp,Basic Materials,Gold,EQUITY,,https://americaneaglegold.ca,https://logo.clearbit.com/americaneaglegold.ca,VAN,AMERICAN EAGLE GOLD CORP,Drillore Exploration Inc.,ca_market,,2032404,AE.V,TSXV
AEC,Anfield Energy Inc,Energy,Uranium,EQUITY,,https://anfieldenergy.com,https://logo.clearbit.com/anfieldenergy.com,VAN,ANFIELD ENERGY INC,Anfield Energy Inc.,ca_market,,18215760,AEC.V,TSXV
AEC.WT,Anfield Energy Inc,,,,,,,,,,,,,AEC.WT.V,TSXV
AEP,Atlas Engineered Products Ltd,Industrials,Engineering & Construction,EQUITY,,https://www.atlasengineeredproducts.com,https://logo.clearbit.com/atlasengineeredproducts.com,VAN,ATLAS ENGINEERED PRODUCTS LTD,Atlas Engineered Products Ltd.,ca_market,,28285594,AEP.V,TSXV
AF.P,Af2 Capital Corp,,,EQUITY,,,,VAN,AF2 Capital Corp,AF2 Capital Corp,ca_market,,,AF.P.V,TSXV
AFCC.H,Automotive Finco Corp,,,,,,,,,,,,,AFCC.H.V,TSXV
AFE,Africa Energy Corp,Energy,Oil & Gas E&P,EQUITY,,https://www.africaenergycorp.com,https://logo.clearbit.com/africaenergycorp.com,VAN,AFRICA ENERGY CORP,Africa Energy Corp.,ca_market,,446694400,AFE.V,TSXV
AFF,Affinity Metals Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://affinitymetals.ca,https://logo.clearbit.com/affinitymetals.ca,VAN,AFFINITY METALS CORP,Affinity Metals Corp.,ca_market,,2116444,AFF.V,TSXV
AFM,Alphamin Resources Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.alphaminresources.com,https://logo.clearbit.com/alphaminresources.com,VAN,ALPHAMIN RESOURCES CORP.,Alphamin Resources Corp.,ca_market,,751849216,AFM.V,TSXV
AFR,African Metals Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.afrnuventure.com,https://logo.clearbit.com/afrnuventure.com,VAN,AFR NUVENTURE RESOURCES INC,AFR NuVenture Resources Inc.,ca_market,,631354,AFR.V,TSXV
AGD,Antioquia Gold Inc,Basic Materials,Gold,EQUITY,,https://www.antioquiagoldinc.com,https://logo.clearbit.com/antioquiagoldinc.com,VAN,ANTIOQUIA GOLD INC.,Antioquia Gold Inc.,ca_market,,18987960,AGD.V,TSXV
AGH.H,Canadian Silver Hunter Inc,,,,,,,,,,,,,AGH.H.V,TSXV
AGL,Aguila Copper Corp,Basic Materials,Gold,EQUITY,,https://www.aguilacopper.com,https://logo.clearbit.com/aguilacopper.com,VAN,AGUILA COPPER CORP,Aguila Copper Corp.,ca_market,,5994125,AGL.V,TSXV
AGLD,Austral Gold Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.australgold.com,https://logo.clearbit.com/australgold.com,VAN,AUSTRAL GOLD LIMITED,Austral Gold Limited,ca_market,,24492438,AGLD.V,TSXV
AGMR,Silver Mountain Resources Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,,,VAN,SILVER MOUNTAIN RESOURCES INC,Silver Mountain Resources Inc.,ca_market,,,AGMR.V,TSXV
AGMR.WT,Silver Mountain Resources Inc Wts,,,,,,,,,,,,,AGMR.WT.V,TSXV
AGO,Big Tree Carbon Inc,Basic Materials,Gold,EQUITY,,https://aurcrest.ca,https://logo.clearbit.com/aurcrest.ca,VAN,BIG TREE CARBON INC,Big Tree Carbon Inc.,ca_market,,15648451,AGO.V,TSXV
AGX,Silver X Mining Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://silverx-mining.com,https://logo.clearbit.com/silverx-mining.com,VAN,SILVER X MINING CORP,Silver X Mining Corp.,ca_market,,25419450,AGX.V,TSXV
AHR,Amarc Resources Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://amarcresources.com,https://logo.clearbit.com/amarcresources.com,VAN,Amarc Resources Ltd.,Amarc Resources Ltd.,ca_market,,27993466,AHR.V,TSXV
AIP.U,Aip Realty Trust USD,,,,,,,,,,,,,AIP.U.V,TSXV
AIR,Clean Air Metals Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.cleanairmetals.ca,https://logo.clearbit.com/cleanairmetals.ca,VAN,CLEAN AIR METALS INC,Clean Air Metals Inc.,ca_market,,20908624,AIR.V,TSXV
AIS,Ais Resources Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.aisresources.com,https://logo.clearbit.com/aisresources.com,VAN,AIS RESOURCES LIMITED,A.I.S. Resources Limited,ca_market,,3559500,AIS.V,TSXV
AKH.H,Alaska Hydro Corp,,,,,,,,,,,,,AKH.H.V,TSXV
AKMY,K B Recycling Industries Ltd,Industrials,Pollution & Treatment Controls,EQUITY,,https://www.alkemy.solutions,https://logo.clearbit.com/alkemy.solutions,VAN,K B RECYCLING INDUSTRIES LTD,K.B. Recycling Industries Ltd.,ca_market,,14625960,AKMY.V,TSXV
AKR,Ackroo Inc,Technology,Software—Application,EQUITY,,https://www.ackroo.com,https://logo.clearbit.com/ackroo.com,VAN,ACKROO INC,Ackroo Inc.,ca_market,,8091930,AKR.V,TSXV
AL,Alx Resources Corp,Energy,Uranium,EQUITY,,https://www.alxresources.com,https://logo.clearbit.com/alxresources.com,VAN,ALX RESOURCES CORP,ALX Resources Corp.,ca_market,,8219160,AL.V,TSXV
ALDE,Aldebaran Resources Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.aldebaranresources.com,https://logo.clearbit.com/aldebaranresources.com,VAN,ALDEBARAN RESOURCES INC,Aldebaran Resources Inc.,ca_market,,79001552,ALDE.V,TSXV
ALEX,Alpha Exploration Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://alpha-exploration.com,https://logo.clearbit.com/alpha-exploration.com,VAN,ALPHA EXPLORATION LTD,Alpha Exploration Ltd.,ca_market,,27970330,ALEX.V,TSXV
ALLI,Alpha Lithium Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://alphalithium.com,https://logo.clearbit.com/alphalithium.com,VAN,ALPHA LITHIUM CORPORATION,Alpha Lithium Corporation,ca_market,,139398640,ALLI.V,TSXV
ALLI.WT,Alpha Lithium Corp WT,,,,,,,,,,,,,ALLI.WT.V,TSXV
ALM,Alliance Mining Corp,Basic Materials,Gold,EQUITY,,https://www.alliancemining.com,https://logo.clearbit.com/alliancemining.com,VAN,ALLIANCE MINING CORP,Alliance Mining Corp.,ca_market,,1214707,ALM.V,TSXV
ALPS.U,Alpine Summit Energy Partners Inc USD,,,,,,,,,,,,,ALPS.U.V,TSXV
ALTA,Altamira Gold Corp,Basic Materials,Gold,EQUITY,,https://altamiragold.com,https://logo.clearbit.com/altamiragold.com,VAN,ALTAMIRA GOLD CORP,Altamira Gold Corp.,ca_market,,20347880,ALTA.V,TSXV
ALV,Alvopetro Energy Ltd,Energy,Oil & Gas E&P,EQUITY,,https://www.alvopetro.com,https://logo.clearbit.com/alvopetro.com,VAN,ALVOPETRO ENERGY LTD,Alvopetro Energy Ltd.,ca_market,,281558720,ALV.V,TSXV
ALY,Analytixinsight Inc,Technology,Software—Application,EQUITY,,https://www.analytixinsight.com,https://logo.clearbit.com/analytixinsight.com,VAN,ANALYTIXINSIGHT INC,AnalytixInsight Inc.,ca_market,,35538536,ALY.V,TSXV
ALY.WT,Analytixinsight Inc WT,,,,,,,,,,,,,ALY.WT.V,TSXV
AM,Academy Metals Inc,Basic Materials,Gold,EQUITY,,https://academymetalsinc.com,https://logo.clearbit.com/academymetalsinc.com,VAN,ACADEMY METALS INC,Academy Metals Inc.,ca_market,,555024,AM.V,TSXV
AMC,Arizona Metals Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://arizonametalscorp.com,https://logo.clearbit.com/arizonametalscorp.com,VAN,ARIZONA METALS CORP,Arizona Metals Corp.,ca_market,,400717984,AMC.V,TSXV
AME,Abacus Mining and Exploration,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.amemining.com,https://logo.clearbit.com/amemining.com,VAN,ABACUS MINING AND EXPLORATION,Abacus Mining & Exploration Corporation,ca_market,,4383885,AME.V,TSXV
AMG.P,Amg Acquisition Corp,,,,,,,,,,,,,AMG.P.V,TSXV
