Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
CKF,Collins Foods Limited,Consumer Cyclical,Restaurants,EQUITY,,https://www.collinsfoods.com,https://logo.clearbit.com/collinsfoods.com,ASX,COLLINS FD FPO,Collins Foods Limited,au_market,,1179796480,CKF.AX,ASX
CKFKOA,Collins Foods Limited,,,,,,,,,,,,,CKFKOA.AX,ASX
CL8,Collaborate Corporation Limited,Industrials,Rental & Leasing Services,EQUITY,,https://investors.carly.co,https://logo.clearbit.com/investors.carly.co,ASX,CARLYHOLD FPO,Carly Holdings Limited,au_market,,4536558,CL8.AX,ASX
CL8OB,CL8OB,,,,,,,,,,,,,CL8OB.AX,ASX
CLA,Celsius Coal Limited,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.celsiusresources.com.au,https://logo.clearbit.com/celsiusresources.com.au,ASX,CELRES FPO,Celsius Resources Limited,au_market,,14755721,CLA.AX,ASX
CLAO,Celsius Resources Limited,,,,,,,,,,,,,CLAO.AX,ASX
CLB,Creatable Media Ltd,Consumer Defensive,Confectioners,EQUITY,,https://www.candyclub.com,https://logo.clearbit.com/candyclub.com,ASX,CANDY CLUB FPO,Candy Club Holdings Limited,au_market,,21927958,CLB.AX,ASX
CLBO,Candy Club Holdings Limited,,,,,,,,,,,,,CLBO.AX,ASX
CLE,Clearwater Group Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://cyclonemetals.com,https://logo.clearbit.com/cyclonemetals.com,ASX,CYCLONE FPO,Cyclone Metals Limited,au_market,,9906260,CLE.AX,ASX
CLG,Close The Loop Ltd.,Industrials,Waste Management,EQUITY,,https://www.closetheloop.com.au,https://logo.clearbit.com/closetheloop.com.au,ASX,CLOSELOOP FPO,Close the Loop Ltd,au_market,,152329328,CLG.AX,ASX
CLH,Collection House Ltd,Industrials,Specialty Business Services,EQUITY,,https://www.collectionhouse.com.au,https://logo.clearbit.com/collectionhouse.com.au,ASX,COLL HOUSE FPO,Collection House Limited,au_market,,9623837,CLH.AX,ASX
CLT,Cellnet Group Ltd,Industrials,Specialty Business Services,EQUITY,,https://www.cellnet.com.au,https://logo.clearbit.com/cellnet.com.au,ASX,CELLNET FPO,Cellnet Group Limited,au_market,,6089875,CLT.AX,ASX
CLU,Cloncurry Metals Ltd,Consumer Defensive,Education & Training Services,EQUITY,,https://www.clueylearning.com.au,https://logo.clearbit.com/clueylearning.com.au,ASX,CLUEY LTD FPO,Cluey Ltd,au_market,,66797112,CLU.AX,ASX
CLV,Clover Corporation Ltd,Consumer Defensive,Packaged Foods,EQUITY,,https://www.clovercorp.com.au,https://logo.clearbit.com/clovercorp.com.au,ASX,CLOVER FPO,Clover Corporation Limited,au_market,,164774624,CLV.AX,ASX
CLW,Charter Hall Long Wale Reit,Real Estate,REIT—Diversified,EQUITY,,https://www.charterhall.com.au,https://logo.clearbit.com/charterhall.com.au,ASX,CHTR H LWR STAPLED,Charter Hall Long WALE REIT,au_market,,9848944640,CLW.AX,ASX
CLX,CTI Logistics Ltd,Industrials,Integrated Freight & Logistics,EQUITY,,https://www.ctilogistics.com,https://logo.clearbit.com/ctilogistics.com,ASX,CTI LOGIST FPO,CTI Logistics Limited,au_market,,102227280,CLX.AX,ASX
CLZ,Classic Minerals Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.classicminerals.com.au,https://logo.clearbit.com/classicminerals.com.au,ASX,CLASSICMIN FPO,Classic Minerals Limited,au_market,,605248576,CLZ.AX,ASX
CLZOA,CLZOA,,,,,,,,,,,,,CLZOA.AX,ASX
CM8,Crowd Mobile Limited,Technology,Software—Application,EQUITY,,https://www.crowdmedia.com,https://logo.clearbit.com/crowdmedia.com,ASX,CROWD FPO,Crowd Media Holdings Limited,au_market,,15048096,CM8.AX,ASX
