Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
LSPK,Lifespeak Inc,Technology,Software—Application,EQUITY,,https://lifespeak.com,https://logo.clearbit.com/lifespeak.com,TOR,LIFESPEAK INC,LifeSpeak Inc.,ca_market,,96596760,LSPK.TO,TSX
LUC,Lucara Diamond Corp,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://lucaradiamond.com,https://logo.clearbit.com/lucaradiamond.com,TOR,LUCARA DIAMOND CORP,Lucara Diamond Corp.,ca_market,,253997520,LUC.TO,TSX
LUG,Lundin Gold Inc,Basic Materials,Gold,EQUITY,,https://www.lundingold.com,https://logo.clearbit.com/lundingold.com,TOR,LUNDIN GOLD INC,Lundin Gold Inc.,ca_market,,2149417216,LUG.TO,TSX
LUN,Lundin Mining Corp,Basic Materials,Copper,EQUITY,,https://www.lundinmining.com,https://logo.clearbit.com/lundinmining.com,TOR,LUNDIN MINING CORP.,Lundin Mining Corporation,ca_market,,4973650432,LUN.TO,TSX
LWRK,Lifeworks Inc,,,,,,,,,,,,,LWRK.TO,TSX
LXR,Lxrandco Inc,Consumer Cyclical,Specialty Retail,EQUITY,,https://lxrco.com,https://logo.clearbit.com/lxrco.com,TOR,LXRANDCO INC,"LXRandCo, Inc.",ca_market,,9599678,LXR.TO,TSX
LYFR,Lysander-Canso Floating Rate Activetf,,,ETF,,,,TOR,LYSANDER CANSO FLOATING RATE AC,,ca_market,,,LYFR.TO,TSX
MAG,MAG Silver Corp,Basic Materials,Silver,EQUITY,,https://www.magsilver.com,https://logo.clearbit.com/magsilver.com,TOR,MAG SILVER CORP.,MAG Silver Corp.,ca_market,,1572640000,MAG.TO,TSX
MAGT,Magnet Forensics Inc,Technology,Software—Application,EQUITY,,https://www.magnetforensics.com/,https://logo.clearbit.com/magnetforensics.com,TOR,MAGNET FORENSICS INC,Magnet Forensics Inc.,ca_market,,834201600,MAGT.TO,TSX
MAL,Magellan Aero,Industrials,Aerospace & Defense,EQUITY,,https://www.magellan.aero,https://logo.clearbit.com/magellan.aero,TOR,MAGELLAN AERO,Magellan Aerospace Corporation,ca_market,,406436032,MAL.TO,TSX
MARI,Marimaca Copper Corp,Basic Materials,Copper,EQUITY,,https://www.marimaca.com,https://logo.clearbit.com/marimaca.com,TOR,MARIMACA COPPER CORP,Marimaca Copper Corp.,ca_market,,288731840,MARI.TO,TSX
MAV,Mav Beauty Brands Inc,Consumer Defensive,Household & Personal Products,EQUITY,,https://investors.mavbeautybrands.com,https://logo.clearbit.com/investors.mavbeautybrands.com,TOR,MAV BEAUTY BRANDS INC,MAV Beauty Brands Inc.,ca_market,,18846996,MAV.TO,TSX
MAW,Mawson Resources Ltd,Basic Materials,Gold,EQUITY,,https://www.mawsongold.com,https://logo.clearbit.com/mawsongold.com,TOR,MAWSON GOLD LIMITED,Mawson Gold Limited,ca_market,,35230920,MAW.TO,TSX
MAXR,Maxar Technologies Inc,Technology,Communication Equipment,EQUITY,,https://www.maxar.com,https://logo.clearbit.com/maxar.com,TOR,MAXAR TECHNOLOGIES INC,Maxar Technologies Inc.,ca_market,,1930885248,MAXR.TO,TSX
MAYB.F,First Trust CBOE Vst US Eq Bf Hg ETF May,,,,,,,,,,,,,MAYB.F.TO,TSX
MBA,Cibt Education Group Inc,Consumer Defensive,Education & Training Services,EQUITY,,https://www.cibt.net,https://logo.clearbit.com/cibt.net,TOR,CIBT EDUCATION GROUP INC.,CIBT Education Group Inc.,ca_market,,36284172,MBA.TO,TSX
MBAL,Mackenzie Balanced Allocation ETF,,,ETF,,,,TOR,MACKENZIE BALANCED ALLOCATION E,Mackenzie Balanced Allocation ETF,ca_market,Mackenzie Investments,,MBAL.TO,TSX
MBX,Microbix J,Healthcare,Biotechnology,EQUITY,,https://microbix.com,https://logo.clearbit.com/microbix.com,TOR,MICROBIX J,Microbix Biosystems Inc.,ca_market,,68645504,MBX.TO,TSX
