Date,Close
1999-11-01,96.75
1999-11-02,94.81
1999-11-03,94.37
1999-11-04,91.56
1999-11-05,90.25
1999-11-08,93.94
1999-11-09,93.62
1999-11-10,97.0
1999-11-11,95.0
1999-11-12,95.87
1999-11-15,94.06
1999-11-16,94.62
1999-11-17,93.75
1999-11-18,98.0
1999-11-19,103.94
1999-11-22,107.87
1999-11-23,106.06
1999-11-24,104.5
1999-11-26,105.0
1999-11-29,104.19
1999-11-30,103.06
1999-12-01,103.42
1999-12-02,105.27
1999-12-03,111.87
1999-12-06,116.0
1999-12-07,116.62
1999-12-08,118.28
1999-12-09,113.37
1999-12-10,109.0
1999-12-13,109.7
1999-12-14,109.25
1999-12-15,107.0
1999-12-16,109.19
1999-12-17,110.0
1999-12-20,109.2
1999-12-21,110.12
1999-12-22,108.0
1999-12-23,108.62
1999-12-27,109.75
1999-12-28,109.81
1999-12-29,109.0
1999-12-30,108.75
1999-12-31,107.87
2000-01-03,116.0
2000-01-04,112.06
2000-01-05,116.0
2000-01-06,114.0
2000-01-07,113.5
2000-01-10,118.0
2000-01-11,119.0
2000-01-12,119.5
2000-01-13,118.25
2000-01-14,119.62
2000-01-18,115.75
2000-01-19,119.5
2000-01-20,119.0
2000-01-21,121.5
2000-01-24,121.5
2000-01-25,119.12
2000-01-26,116.75
2000-01-27,113.5
2000-01-28,111.56
2000-01-31,112.25
2000-02-01,110.0
2000-02-02,113.5
2000-02-03,117.12
2000-02-04,115.62
2000-02-07,114.12
2000-02-08,118.81
2000-02-09,117.37
2000-02-10,119.12
2000-02-11,115.37
2000-02-14,116.06
2000-02-15,117.12
2000-02-16,115.75
2000-02-17,116.75
2000-02-18,112.5
2000-02-22,111.0
2000-02-23,108.75
2000-02-24,110.5
2000-02-25,108.0
2000-02-28,104.5
2000-02-29,102.75
2000-03-01,100.25
2000-03-02,103.12
2000-03-03,108.0
2000-03-06,103.06
2000-03-07,103.0
2000-03-08,106.25
2000-03-09,108.0
2000-03-10,105.25
2000-03-13,107.69
2000-03-14,108.62
2000-03-15,107.0
2000-03-16,109.0
2000-03-17,110.0
2000-03-20,112.75
2000-03-21,113.5
2000-03-22,114.25
2000-03-23,115.25
2000-03-24,120.62
2000-03-27,126.87
2000-03-28,122.5
2000-03-29,119.0
2000-03-30,122.75
2000-03-31,118.37
2000-04-03,122.0
2000-04-04,121.19
2000-04-05,125.0
2000-04-06,122.75
2000-04-07,123.12
2000-04-10,122.12
2000-04-11,119.37
2000-04-12,113.75
2000-04-13,110.62
2000-04-14,105.0
2000-04-17,111.87
2000-04-18,111.5
2000-04-19,105.0
2000-04-20,104.0
2000-04-24,106.5
2000-04-25,112.5
2000-04-26,110.5
2000-04-27,110.62
2000-04-28,111.5
2000-05-01,112.0
2000-05-02,111.37
2000-05-03,108.12
2000-05-04,107.62
2000-05-05,107.87
2000-05-08,109.75
2000-05-09,109.0
2000-05-10,103.0
2000-05-11,104.44
2000-05-12,104.44
2000-05-15,104.19
2000-05-16,109.0
2000-05-17,107.87
2000-05-18,106.06
2000-05-19,106.44
2000-05-22,109.25
2000-05-23,107.37
2000-05-24,109.62
2000-05-25,106.5
2000-05-26,106.94
2000-05-30,110.94
2000-05-31,107.31
2000-06-01,106.0
2000-06-02,108.81
2000-06-05,112.81
2000-06-06,112.37
2000-06-07,121.0
2000-06-08,119.75
2000-06-09,119.69
2000-06-12,118.84
2000-06-13,119.31
2000-06-14,116.0
2000-06-15,116.81
2000-06-16,113.25
2000-06-19,120.37
2000-06-20,116.37
2000-06-21,114.5
2000-06-22,111.81
2000-06-23,111.87
2000-06-26,114.41
2000-06-27,109.75
2000-06-28,113.78
2000-06-29,114.0
2000-06-30,109.56
2000-07-03,109.5
2000-07-05,105.0
2000-07-06,101.25
2000-07-07,105.06
2000-07-10,103.31
2000-07-11,102.0
2000-07-12,104.62
2000-07-13,104.0
2000-07-14,103.94
2000-07-17,105.5
2000-07-18,103.31
2000-07-19,108.75
2000-07-20,117.25
2000-07-21,114.75
2000-07-24,112.5
2000-07-25,112.0
2000-07-26,109.87
2000-07-27,110.31
2000-07-28,111.81
2000-07-31,112.25
2000-08-01,110.5
2000-08-02,114.25
2000-08-03,116.0
2000-08-04,115.87
2000-08-07,116.31
2000-08-08,118.87
2000-08-09,118.75
2000-08-10,119.75
2000-08-11,120.62
2000-08-14,123.25
2000-08-15,122.0
2000-08-16,122.37
2000-08-17,122.5
2000-08-18,120.44
2000-08-21,121.44
2000-08-22,121.37
2000-08-23,123.25
2000-08-24,124.81
2000-08-25,129.0
2000-08-28,131.5
2000-08-29,132.88
2000-08-30,130.31
2000-08-31,132.02
2000-09-01,133.63
2000-09-05,131.19
2000-09-06,131.44
2000-09-07,133.38
2000-09-08,129.5
2000-09-11,124.5
2000-09-12,125.0
2000-09-13,127.69
2000-09-14,126.87
2000-09-15,125.0
2000-09-18,123.25
2000-09-19,124.94
2000-09-20,124.75
2000-09-21,121.5
2000-09-22,123.87
2000-09-25,123.0
2000-09-26,119.12
2000-09-27,118.0
2000-09-28,115.25
2000-09-29,112.62
2000-10-02,117.81
2000-10-03,110.56
2000-10-04,114.37
2000-10-05,113.19
2000-10-06,116.0
2000-10-09,117.94
2000-10-10,114.87
2000-10-11,112.0
2000-10-12,103.12
2000-10-13,109.06
2000-10-16,111.12
2000-10-17,113.0
2000-10-18,95.44
2000-10-19,96.44
2000-10-20,94.75
2000-10-23,92.87
2000-10-24,91.44
2000-10-25,87.56
2000-10-26,92.75
2000-10-27,93.69
2000-10-30,93.31
2000-10-31,98.5
2000-11-01,98.56
2000-11-02,101.94
2000-11-03,100.12
2000-11-06,100.31
2000-11-07,102.31
2000-11-08,100.0
2000-11-09,99.44
2000-11-10,93.0
2000-11-13,97.44
2000-11-14,99.5
2000-11-15,99.37
2000-11-16,98.25
2000-11-17,101.94
2000-11-20,103.25
2000-11-21,98.5
2000-11-22,98.5
2000-11-24,99.94
2000-11-27,98.44
2000-11-28,97.87
2000-11-29,99.81
2000-11-30,93.5
2000-12-01,95.62
2000-12-04,98.37
2000-12-05,103.37
2000-12-06,96.75
2000-12-07,93.12
2000-12-08,97.0
2000-12-11,95.0
2000-12-12,93.87
2000-12-13,91.25
2000-12-14,92.44
2000-12-15,87.81
2000-12-18,90.5
2000-12-19,90.12
2000-12-20,86.0
2000-12-21,81.56
2000-12-22,89.0
2000-12-26,84.81
2000-12-27,84.69
2000-12-28,85.25
2000-12-29,85.0
2001-01-02,84.81
2001-01-03,94.62
2001-01-04,93.19
2001-01-05,94.0
2001-01-08,93.56
2001-01-09,92.56
2001-01-10,93.44
2001-01-11,93.69
2001-01-12,93.81
2001-01-16,92.75
2001-01-17,96.69
2001-01-18,108.31
2001-01-19,111.25
2001-01-22,108.56
2001-01-23,109.06
2001-01-24,110.44
2001-01-25,110.75
2001-01-26,114.19
2001-01-29,114.98
2001-01-30,116.61
2001-01-31,112.0
2001-02-01,114.05
2001-02-02,110.27
2001-02-05,112.22
2001-02-06,114.19
2001-02-07,116.91
2001-02-08,114.1
2001-02-09,112.0
2001-02-12,114.9
2001-02-13,113.75
2001-02-14,115.1
2001-02-15,116.78
2001-02-16,115.0
2001-02-20,111.5
2001-02-21,107.51
2001-02-22,108.9
2001-02-23,104.0
2001-02-26,105.3
2001-02-27,102.59
2001-02-28,99.9
2001-03-01,106.05
2001-03-02,102.3
2001-03-05,104.91
2001-03-06,106.0
2001-03-07,107.55
2001-03-08,106.47
2001-03-09,99.29
2001-03-12,95.49
2001-03-13,98.39
2001-03-14,94.96
2001-03-15,95.56
2001-03-16,90.1
2001-03-19,92.6
2001-03-20,88.3
2001-03-21,89.08
2001-03-22,89.1
2001-03-23,93.51
2001-03-26,95.4
2001-03-27,99.5
2001-03-28,94.41
2001-03-29,95.04
2001-03-30,96.18
2001-04-02,94.66
2001-04-03,90.39
2001-04-04,92.0
2001-04-05,98.21
2001-04-06,97.95
2001-04-09,96.0
2001-04-10,99.05
2001-04-11,97.43
2001-04-12,96.2
2001-04-16,96.75
2001-04-17,99.7
2001-04-18,106.5
2001-04-19,114.47
2001-04-20,114.83
2001-04-23,112.0
2001-04-24,112.67
2001-04-25,114.85
2001-04-26,113.74
2001-04-27,116.2
2001-04-30,115.14
2001-05-01,118.51
2001-05-02,115.4
2001-05-03,113.7
2001-05-04,115.86
2001-05-07,115.9
