Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TOPS,TOP Ships Inc. Common Stock,$5.89,0.09,1.552%,27248300.00,Greece,,14453,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.443,-0.007,-1.556%,3626836.00,United States,,64877,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$1.33,-0.01,-0.746%,10004924.00,,2023,86366,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$5.21,0.01,0.192%,22469714.00,United States,1998,1113,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.3325,0.004,1.218%,93798471.00,Canada,,206167,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$2.22,0.09,4.225%,261788996.00,United States,,3655541,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.09,-0.01,-0.909%,15179042.00,United States,,415833,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$6.62,0.00,0.00%,2941591353.00,Canada,,7089232,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$8.73,0.61,7.512%,216767384.00,United States,2024,2503698,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.09,0.02,1.869%,397652993.00,Canada,,2348684,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.884,0.0341,4.012%,576683485.00,Canada,2017,1357247,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$35.96,0.14,0.391%,0.00,United States,2004,145234,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$3.32,0.22,7.097%,7678785.00,United States,2003,87072,Technology,Electronic Components
