Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$7.15,0.01,0.14%,0.00,United States,2005,15032,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$17.63,0.0888,0.506%,105231901.00,United States,2004,9589,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.20,0.00,0.00%,,United States,,252,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.71,0.02,0.351%,72571719.00,United States,2004,25051,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$1.44,0.07,5.109%,92723545.00,Singapore,2022,8008133,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.71,0.0211,3.063%,96879309.00,United States,,1179203,Basic Materials,Precious Metals
GPUS,Hyperscale Data Inc. Common Stock,$1.37,0.01,0.735%,9894351.00,United States,1997,2507362,Technology,Industrial Machinery/Components
GPUS^D,Hyperscale Data Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$14.9795,-0.076,-0.505%,,United States,,3037,,
GRAF,Graf Global Corp. Class A ordinary shares,$10.4405,-0.0195,-0.186%,0.00,,2024,1000,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.8562,0.00,0.00%,0.00,United States,,158,Finance,Finance/Investors Services
GRO,Brazil Potash Corp. Common Shares,$1.37,-0.01,-0.725%,52626820.00,,2024,54146,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GROY,Gold Royalty Corp. Common Shares,$2.30,0.04,1.77%,388864259.00,Canada,2021,535715,Basic Materials,Precious Metals
GTE,Gran Tierra Energy Inc. Common Stock,$4.93,-0.01,-0.202%,173974696.00,Canada,,83863,Energy,Oil & Gas Production
HCWC,Healthy Choice Wellness Corp. Class A Common Stock,$0.4351,-0.0011,-0.252%,5287384.00,,2024,36528,Consumer Staples,Food Chains
HNW,Pioneer Diversified High Income Fund Inc.,$12.53,-0.05,-0.397%,0.00,United States,2007,12991,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$9.42,-0.88,-8.544%,14776711.00,United States,,370436,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$74.40,4.15,5.907%,,United States,,382,,
HYLN,Hyliion Holdings Corp. Class A Common Stock,$1.44,0.04,2.857%,252335223.00,United States,2019,449039,Consumer Discretionary,Construction/Ag Equipment/Trucks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.51,0.00,0.00%,0.00,United States,1985,16851,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$0.6318,-0.0047,-0.738%,512616497.00,Canada,2022,1933448,Basic Materials,Precious Metals
IBO,Impact BioMedical Inc. Common Stock,$0.653,-0.0214,-3.173%,7891774.00,,2024,433775,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$13.06,-0.02,-0.153%,183530508.00,United States,2022,113364,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.36,0.12,1.299%,1241045376.00,Canada,2022,389987,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.3025,-0.0045,-1.466%,25377205.00,United States,,240572,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.16,-0.03,-1.37%,18929128.00,United States,1999,475,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$81.43,0.45,0.556%,41451534350.00,Canada,1929,140363,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$3.16,-0.09,-2.769%,43955720.00,,2019,487429,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$6.16,-0.01,-0.162%,129207626.00,United States,,45677,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$11.93,-0.19,-1.568%,51471484.00,,2022,541,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$7.14,-0.32,-4.29%,89198656.00,United States,1997,29651,Industrials,Electrical Products
INUV,Inuvo Inc.,$4.95,0.24,5.096%,71405448.00,United States,,77185,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$18.95,0.00,0.00%,77054073.00,United States,1987,36,Real Estate,Real Estate Investment Trusts
ISOU,IsoEnergy Ltd. Common Shares,$6.99,0.07,1.012%,336062263.00,,2025,14709,,
ITP,IT Tech Packaging Inc. Common Stock,$0.19,0.0029,1.55%,1912525.00,China,,247656,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$1.49,0.04,2.759%,251812667.00,,,404319,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.195,0.0012,0.619%,21335583.00,United States,1968,78602,Consumer Discretionary,Diversified Commercial Services
KAPA,Kairos Pharma Ltd. Common Stock,$0.651,-0.044,-6.331%,10968898.00,,2024,188855,Health Care,Biotechnology: Pharmaceutical Preparations
KNW,Know Labs Inc. Common Stock,$2.45,0.52,26.943%,18375000.00,,,1423925,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$6.79,0.22,3.349%,262085513.00,United States,,1466526,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.01,-0.01,-0.98%,230639853.00,United States,,912561,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.67,-0.05,-0.466%,0.00,,2024,20355,,
LEU,Centrus Energy Corp. Class A Common Stock,$175.65,-0.81,-0.459%,2866268293.00,United States,2014,462090,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGCY,Legacy Education Inc. Common Stock,$10.86,0.22,2.068%,134452849.00,,2024,36229,Real Estate,Other Consumer Services
LGL,LGL Group Inc. (The) Common Stock,$6.96,-0.19,-2.657%,37508909.00,United States,1946,21817,Technology,Industrial Machinery/Components
LGPS,LogProstyle Inc. Common Shares,$0.84,-0.0095,-1.118%,20287772.00,,2025,47684,Consumer Discretionary,Homebuilding
LODE,Comstock Inc. Common Stock,$3.75,-0.06,-1.575%,107297160.00,United States,,130566,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$7.51,0.13,1.762%,237831194.00,,2024,12287,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$6.35,-0.04,-0.626%,66619342.00,,2020,4587,Consumer Staples,Packaged Foods
LUD,Luda Technology Group Limited Ordinary Shares,$4.90,-0.04,-0.81%,111181000.00,,2025,18033,,
LXFR,Luxfer Holdings PLC Ordinary Shares,$12.68,0.15,1.197%,339391675.00,United Kingdom,2012,59907,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$21.63,0.26,1.217%,2237916327.00,Canada,,1088343,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.85,-0.05,-2.632%,56068529.00,,2022,229774,Health Care,Biotechnology: Pharmaceutical Preparations
MCRP,Micropolis Holding Company Ordinary Shares,$2.87,-0.17,-5.592%,100129843.00,,2025,23682,,
MGLD,The Marygold Companies Inc. Common Stock,$0.78,0.00,0.00%,33412666.00,,2022,4858,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$7.01,-0.03,-0.426%,82470189.00,United States,,41614,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$2.08,-0.10,-4.587%,10535512.00,,2023,35725,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.6603,0.0006,0.091%,6559208.00,United States,2021,94974,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.67,0.0439,7.012%,52579804.00,United States,2015,158811,Health Care,Industrial Specialties
MMA,Mixed Martial Arts Group Limited Ordinary Shares,$1.25,-0.06,-4.58%,12853358.00,,2024,111185,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$40.26,0.15,0.374%,117451666.00,United States,2022,34152,Technology,Industrial Machinery/Components
MPU,Mega Matrix Inc. Class A Ordinary Shares,$1.68,0.10,6.329%,64767066.00,United States,1998,734357,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$3.00,0.015,0.503%,228733077.00,,2021,14701,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.3551,-0.0098,-2.686%,7472246.00,United States,1994,10632,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$3.87,0.01,0.259%,358070883.00,,,137541,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.9172,-0.0228,-2.426%,4665783.00,United States,2017,14981,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.275,0.0078,2.919%,9165750.00,,2023,8021,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$9.00,-0.21,-2.28%,18414000.00,United States,2003,24517,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$0.8745,-0.0255,-2.833%,39918985.00,,2017,4740,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$2.03,-0.05,-2.404%,73037212.00,United States,2017,403535,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$1.40,-0.02,-1.408%,752855993.00,Canada,,3757934,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$9.91,0.01,0.101%,0.00,United States,2002,73697,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.629,0.0039,0.624%,3658392.00,United States,2007,8792,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.164,-0.005,-2.959%,15656162.00,,2023,10509217,Industrials,Plastic Products
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$73.24,0.00,0.00%,206599713.00,United States,,68,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$1.50,0.001,0.067%,257626199.00,Canada,2021,139136,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$1.44,0.01,0.699%,289091511.00,,2021,143523,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$4.52,0.04,0.893%,1512602501.00,Canada,2003,3770064,Basic Materials,Precious Metals
NGD,New Gold Inc.,$4.99,0.09,1.837%,3949086000.00,Canada,,11340008,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$108.44,-0.32,-0.294%,1677674047.00,United States,1986,49044,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.58,-0.01,-0.132%,0.00,United States,,95152,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$8.90,-0.04,-0.447%,0.00,United States,2013,146536,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.38,-0.01,-0.719%,22179360.00,United States,,141523,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.26,0.02,0.617%,0.00,United States,2003,164297,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$2.58,0.17,7.054%,18616929.00,,2023,134058,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NTIP,Network-1 Technologies Inc. Common Stock,$1.25,0.01,0.806%,28558205.00,United States,,10922,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$5.85,-0.10,-1.681%,412535547.00,Canada,2022,268304,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$1.53,0.09,6.25%,1095240.00,United States,,2000636,Health Care,Biotechnology: Pharmaceutical Preparations
OPHC,OptimumBank Holdings Inc. Common Stock,$4.53,0.01,0.221%,53232401.00,United States,,2912,Finance,Major Banks
OPP^C,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. 6.00% Series C Term Preferred Stock (Liquidation Preference $10.00 per share),$10.12,0.00,0.00%,,United States,,107,,
OPTT,Ocean Power Technologies Inc. Common Stock,$0.5075,0.0245,5.072%,45053935.00,United States,2007,1519884,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$10.14,0.09,0.896%,3296759956.00,,2020,582132,Basic Materials,Precious Metals
OSTX,OS Therapies Incorporated Common Stock,$1.83,-0.08,-4.188%,51418786.00,,2024,8014762,Health Care,Biotechnology: Pharmaceutical Preparations
OZ,Belpointe PREP LLC Class A Units,$65.75,-0.55,-0.83%,249133391.00,,,1531,Real Estate,Real Estate Investment Trusts
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$22.55,0.38,1.714%,,United States,,1783,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.35,0.35,1.842%,,United States,,1024,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$19.01,0.00,0.00%,,United States,,8,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.2278,-0.3722,-2.115%,,United States,,200,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$17.725,0.00,0.00%,,United States,,3,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$16.50,0.00,0.00%,,United States,,5,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$15.625,0.515,3.408%,,United States,,9257,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$15.32,0.00,0.00%,,United States,,4,,
PED,Pedevco Corp. Common Stock,$0.64,-0.0025,-0.389%,58457206.00,United States,,49830,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.44,0.00,0.00%,11517577.00,,2019,116986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$0.825,-0.0562,-6.378%,6008239.00,China,,205314,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.55,-0.05,-3.125%,160541986.00,Canada,,807615,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.54,0.04,2.667%,122594957.00,Israel,,409479,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
